_id,id_l,id_r,name_l,addr_l,city_l,phone_l,type__l,name_r,addr_r,city_r,phone_r,type__r,type_match_pred,city_contain_pred,name_edit_pred,name_contain_pred,name_unmatch_pred,addr_contain_pred,addr_edit_pred,addr_num_match_pred,addr_unmatch_pred,phone_match_pred,city_unmatch_pred,phone_area_code_unmatch_pred
17,551,4,'philippe\'s the original','1001 n. alameda st.','los angeles',213/628-3781,american,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
18,595,4,'sign of the dove','1110 3rd ave. at 65th st.','new york',212/861-8080,american,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
19,597,4,'tavern on the green','in central park at 67th st.','new york',212/873-3200,american,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
20,695,4,'rj\'s the rib joint','252 n. beverly dr.','los angeles',310/274-7427,american,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0
21,703,4,'the mandarin','430 n. camden dr.','los angeles',310/859-0926,asian,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0
22,894,4,'the coffee pot','350 9th ave. at 49th st.','new york',212/265-3566,'coffee bar','belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
23,895,4,'the savannah club','2420 broadway at 89th st.','new york',212/496-1066,american,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
24,927,4,'dante\'s down the hatch  buckhead','3380 peachtree rd.',atlanta,404/266-1600,continental,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
25,928,4,'dante\'s down the hatch','underground underground mall  underground atlanta',atlanta,404/577-1800,continental,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
26,960,4,'battista\'s hole in the wall','4041 audrie st. at flamingo rd.','las vegas',702/732-1424,italian,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
27,983,4,'the bacchanal','3570 las vegas blvd. s','las vegas',702/731-7525,'only in las vegas','belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1
28,1054,4,'the heights','3235 sacramento st.','san francisco',415/474-8890,french,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
29,552,7,'pinot bistro','12969 ventura blvd.','los angeles',818/990-0500,french,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,0
30,652,7,'bistro garden','176 n. canon dr.','los angeles',310/550-3900,californian,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,1,-1,0,0,0,0,0,0,-1,-1,-1,-1
31,963,7,bistro,'3400 las vegas blvd. s','las vegas',702/791-7111,continental,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,-1,-1,0,1,0,0,0,0,0,-1,-1,-1
32,991,7,'bistro roti','155 steuart st.','san francisco',415/495-6500,french,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
33,1016,7,'hyde street bistro','1521 hyde st.','san francisco',415/441-7778,italian,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
34,1045,7,'scala\'s bistro','432 powell st.','san francisco',415/395-8555,italian,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
35,1064,7,'yoyo tsumami bistro','1611 post st.','san francisco',415/922-7788,french,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
36,563,8,'carnegie deli','854 7th ave.  between 54th and 55th sts.','new york',212/757-2245,delicatessen,'brent\'s deli','19565 parthenia ave.',northridge,818-886-5679,delis,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
37,592,8,'second avenue deli','156 2nd ave. at 10th st.','new york',212/677-0606,delicatessen,'brent\'s deli','19565 parthenia ave.',northridge,818-886-5679,delis,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
38,654,8,'broadway deli','3rd st. promenade','santa monica',310/451-0616,american,'brent\'s deli','19565 parthenia ave.',northridge,818-886-5679,delis,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
39,886,8,'stage deli','834 7th ave.  between 53rd and 54th sts.','new york',212/245-7850,delicatessen,'brent\'s deli','19565 parthenia ave.',northridge,818-886-5679,delis,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
40,842,9,'milan cafe and coffee bar','120 w. 23rd st.','new york',212/807-1801,'coffee bar','brighton coffee shop','9600 brighton way','beverly hills',310-276-7732,'coffee shops',-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
41,894,9,'the coffee pot','350 9th ave. at 49th st.','new york',212/265-3566,'coffee bar','brighton coffee shop','9600 brighton way','beverly hills',310-276-7732,'coffee shops',-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
42,930,9,'french quarter food shop','923 peachtree st.  at 8th st.',atlanta,404/875-2489,southern,'brighton coffee shop','9600 brighton way','beverly hills',310-276-7732,'coffee shops',-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
43,962,9,'binion\'s coffee shop','128 fremont st.','las vegas',702/382-1600,'coffee shops/diners','brighton coffee shop','9600 brighton way','beverly hills',310-276-7732,'coffee shops',-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
44,537,10,'cafe bizou','14016 ventura blvd.','sherman oaks',818/788-3536,french,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
45,560,10,'cafe lalo','201 w. 83rd st.','new york',212/496-6031,'coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
46,561,10,'cafe des artistes','1 w. 67th st.','new york',212/877-3500,continental,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
47,585,10,'park avenue cafe','100 e. 63rd st.','new york',212/644-1900,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
48,590,10,'river cafe','1 water st. at the east river',brooklyn,718/522-5200,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
49,599,10,'union square cafe','21 e. 16th st.','new york',212/243-4020,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
50,602,10,'coyote cafe','3799 las vegas blvd. s','las vegas',702/891-7349,southwestern,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
51,623,10,'cafe  ritz-carlton  buckhead','3434 peachtree rd.',atlanta,404/237-2700,'ext 6108 international','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
52,631,10,'cafe claude','7 claude la.','san francisco',415/392-3505,french,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
53,642,10,'plumpjack cafe','3201 fillmore st.','san francisco',415/563-4755,mediterranean,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
54,657,10,'cafe pinot','700 w. fifth st.','los angeles',213/239-6500,californian,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
55,663,10,'clearwater cafe','168 w. colorado blvd.','los angeles',818/356-0959,'health food','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
56,674,10,'hard rock cafe','8600 beverly blvd.','los angeles',310/276-7605,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0
57,708,10,'west beach cafe','60 n. venice blvd.','los angeles',310/823-5396,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,0
58,732,10,'bryant park grill  roof restaurant and bp cafe','25 w. 40th st.  between 5th and 6th aves.','new york',212/840-6500,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
59,735,10,'cafe bianco','1486 2nd ave.  between 77th and 78th sts.','new york',212/988-2655,'coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1
60,736,10,'cafe botanica','160 central park s','new york',212/484-5120,french,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1
61,737,10,'cafe la fortuna','69 w. 71st st.','new york',212/724-5846,'coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
62,738,10,'cafe luxembourg','200 w. 70th st.','new york',212/873-7411,french,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
63,739,10,'cafe pierre','2 e. 61st st.','new york',212/940-8185,french,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
64,740,10,'cafe centro','200 park ave.  between 45th st. and vanderbilt ave.','new york',212/818-1222,french,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1
65,741,10,'cafe fes','246 w. 4th st. at charles st.','new york',212/924-7653,mediterranean,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
66,759,10,'corrado cafe','1013 3rd ave.  between 60th and 61st sts.','new york',212/753-5100,'coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
67,760,10,'cupcake cafe','522 9th ave. at 39th st.','new york',212/465-1530,'coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
68,766,10,'duane park cafe','157 duane st.  between w. broadway and hudson st.','new york',212/732-5555,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
69,771,10,'evergreen cafe','1288 1st ave. at 69th st.','new york',212/744-3266,asian,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
70,776,10,'film center cafe','635 9th ave.  between 44th and 45th sts.','new york','212/ 262-2525',american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
71,777,10,'fiorello\'s roman cafe','1900 broadway  between 63rd and 64th sts.','new york',212/595-5330,italian,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
72,786,10,'french roast cafe','2340 broadway at 85th st.','new york',212/799-1533,'coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
73,797,10,'hard rock cafe','221 w. 57th st.','new york',212/489-6565,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
74,805,10,'internet cafe','82 e. 3rd st.  between 1st and 2nd aves.','new york','212/ 614-0747','coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
75,835,10,'manhattan cafe','1161 1st ave.  between 63rd and 64th sts.','new york',212/888-6556,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
76,842,10,'milan cafe and coffee bar','120 w. 23rd st.','new york',212/807-1801,'coffee bar','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
77,846,10,'motown cafe','104 w. 57th st.  near 6th ave.','new york',212/581-8030,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
78,865,10,'popover cafe','551 amsterdam ave.  between 86th and 87th sts.','new york',212/595-8555,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
79,888,10,'sweet\'n\'tart cafe','76 mott st. at canal st.','new york',212/334-8088,asian,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
80,905,10,'victor\'s cafe','52 236 w. 52nd st.','new york',212/586-7714,'latin american','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
81,917,10,'atlanta fish market','265 pharr rd.',atlanta,404/262-3165,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
82,921,10,'cafe renaissance','7050 jimmy carter blvd.  norcross',atlanta,770/441--0291,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
83,954,10,'sundown cafe','2165 cheshire bridge rd.',atlanta,404/321-1118,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
84,966,10,'cafe michelle','1350 e. flamingo rd.','las vegas',702/735-8686,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
85,967,10,'cafe roma','3570 las vegas blvd. s','las vegas',702/731-7547,'coffee shops/diners','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1
86,995,10,'cafe adriano','3347 fillmore st.','san francisco',415/474-4180,italian,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
87,996,10,'cafe marimba','2317 chestnut st.','san francisco',415/776-1506,'mexican/latin american/spanish','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
88,1007,10,'grand cafe hotel monaco','501 geary st.','san francisco',415/292-0101,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
89,1034,10,'one market','1 market st.','san francisco',415/777-5577,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
90,1046,10,'south park cafe','108 south park','san francisco',415/495-7275,french,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
91,1049,10,'stars cafe','500 van ness ave.','san francisco',415/861-4344,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
92,1050,10,'stoyanof\'s cafe','1240 9th ave.','san francisco',415/664-3664,'greek and middle eastern','bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
93,1051,10,'straits cafe','3300 geary blvd.','san francisco',415/668-1783,asian,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
94,1066,10,'zuni cafe & grill','1658 market st.','san francisco',415/552-2522,mediterranean,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
95,537,12,'cafe bizou','14016 ventura blvd.','sherman oaks',818/788-3536,french,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
96,560,12,'cafe lalo','201 w. 83rd st.','new york',212/496-6031,'coffee bar','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
97,561,12,'cafe des artistes','1 w. 67th st.','new york',212/877-3500,continental,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
98,585,12,'park avenue cafe','100 e. 63rd st.','new york',212/644-1900,american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
99,590,12,'river cafe','1 water st. at the east river',brooklyn,718/522-5200,american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,0,0,0,0,0,0,-1,-1,-1,-1
100,599,12,'union square cafe','21 e. 16th st.','new york',212/243-4020,american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
101,602,12,'coyote cafe','3799 las vegas blvd. s','las vegas',702/891-7349,southwestern,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
102,623,12,'cafe  ritz-carlton  buckhead','3434 peachtree rd.',atlanta,404/237-2700,'ext 6108 international','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
103,631,12,'cafe claude','7 claude la.','san francisco',415/392-3505,french,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
104,642,12,'plumpjack cafe','3201 fillmore st.','san francisco',415/563-4755,mediterranean,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
105,657,12,'cafe pinot','700 w. fifth st.','los angeles',213/239-6500,californian,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
106,663,12,'clearwater cafe','168 w. colorado blvd.','los angeles',818/356-0959,'health food','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
107,674,12,'hard rock cafe','8600 beverly blvd.','los angeles',310/276-7605,american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,-1,0,0,0,0,-1,0,-1,-1,0
108,708,12,'west beach cafe','60 n. venice blvd.','los angeles',310/823-5396,american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,-1,0,0,0,0,0,0,-1,-1,0
109,732,12,'bryant park grill  roof restaurant and bp cafe','25 w. 40th st.  between 5th and 6th aves.','new york',212/840-6500,american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
110,735,12,'cafe bianco','1486 2nd ave.  between 77th and 78th sts.','new york',212/988-2655,'coffee bar','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
111,736,12,'cafe botanica','160 central park s','new york',212/484-5120,french,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
112,737,12,'cafe la fortuna','69 w. 71st st.','new york',212/724-5846,'coffee bar','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
113,738,12,'cafe luxembourg','200 w. 70th st.','new york',212/873-7411,french,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
114,739,12,'cafe pierre','2 e. 61st st.','new york',212/940-8185,french,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1
115,740,12,'cafe centro','200 park ave.  between 45th st. and vanderbilt ave.','new york',212/818-1222,french,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
116,741,12,'cafe fes','246 w. 4th st. at charles st.','new york',212/924-7653,mediterranean,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
117,759,12,'corrado cafe','1013 3rd ave.  between 60th and 61st sts.','new york',212/753-5100,'coffee bar','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
118,760,12,'cupcake cafe','522 9th ave. at 39th st.','new york',212/465-1530,'coffee bar','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
119,766,12,'duane park cafe','157 duane st.  between w. broadway and hudson st.','new york',212/732-5555,american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
120,771,12,'evergreen cafe','1288 1st ave. at 69th st.','new york',212/744-3266,asian,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
121,776,12,'film center cafe','635 9th ave.  between 44th and 45th sts.','new york','212/ 262-2525',american,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
122,777,12,'fiorello\'s roman cafe','1900 broadway  between 63rd and 64th sts.','new york',212/595-5330,italian,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
123,786,12,'french roast cafe','2340 broadway at 85th st.','new york',212/799-1533,'coffee bar','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
