id,title,screen_size_diagonal,response_time,supported_aspect_ratio,contrast_ratio_static,screen_brightness,supported_resolution,screen_type,number_of_colors
www.odsi.co.uk//205,"NEC-60003681-NEC MultiSync E243WMI-BK - 23.8"" - LED-Backlit LCD Monitor","23.8""",6 ms 6 ms,Widescreen - 16:9 Widescreen - 16:9,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,FullHD 1920 x 1080 FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//62,"ViewSonic VA2349S Black 23"" 5ms (GTG) Widescreen LED Backlight LCD Monitor","23""",5 ms,Widescreen - 16:9,2000:1 / 20000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//208,"Buy the E554, NEC E554 Display Solutions, NEC Displays MultiSync E554 (55 inch) Edge LED Backlit LCD Display here at odsi.co.uk","NEC MultiSync E554 - 55"" LED-backlit LCD flat panel display",6.5 ms,16:9 16:9,4000:1,350 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 720, 720 x 400, 1920 x 1080, 1280 x 800",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//136,"NEC 60002937 MultiSync EX231W - 23"" - LED-Backlit LCD Monitor","23""",5 ms 5 ms,Widescreen - 16:9 Widescreen - 16:9,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,FullHD 1920 x 1080 at 60 Hz FullHD 1920 x 1080 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//21,,"29.8""",6 ms 6 ms,Widescreen - 16:10 Widescreen - 16:10,1000:1 1000:1,350 cd/m2 350 cd/m2,2560 x 1600 at 60 Hz 2560 x 1600 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,1.07 billion colours 1.07 billion colours
www.odsi.co.uk//146,"Lenovo 60A3UAT2EU ThinkVision LT1423p - 13.3"" Widescreen LED Monitor","13.3""",35 ms,Widescreen - 16:9,500:1,200 cd/m2,1600 x 900,LED-backlit LCD monitor / TFT active matrix,"262,000 colours"
www.odsi.co.uk//131,V196Lb 19  Black UM.CV6EE.009 ACER,"19""",5 ms,5:4,100000000:1 (dynamic),250 cd/m2,1280 x 1024 at 75 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//196,,"NEC MultiSync EA273WMi - LED monitor - 27""",,Widescreen - 16:9 Widescreen - 16:9,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,1920 x 1080 at 60 Hz 1920 x 1080 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//171,Viewsonic VSD241-WTA-EU0| VSD241 24 Android Smart White,"24"" 24""",,16:9,1000:1,250 cd/m2,1920 x 1080 ( Full HD ) 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//184,V226WLbd 22 DVI VGA UM.EV6EE.001 ACER,"22""",5 ms,Widescreen - 16:10 Widescreen,100000000:1 (dynamic),250 cd/m2,1680 x 1050 at 60 Hz 1680 x 1050,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//100,V246HLbd 24  VGA DVI UM.FV6EE.001 ACER,"24""",5 ms,Widescreen - 16:9 Widescreen,100000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//97,NEC-P701- NEC  LCD P701 TV Display 70 Inch Monitor is full HD professional rank panel  superlative for digital signage requests,,,16:09,,,1920 x 1080,,
www.odsi.co.uk//78,"NEC-60003161-NEC SpectraView 232-BK - 23"" - LED-Backlit LCD Monitor","23""",14 ms (typical); 8 ms (grey-to-grey) 14 ms (typical); 8 ms (grey-to-grey),Widescreen - 16:9 Widescreen - 16:9,1000:1 1000:1,270 cd/m2 270 cd/m2,1920 x 1080 at 60 Hz 1920 x 1080 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//91,"NEC-X461S-NEC  LCD X461S Display 46 Inch Screen is super slim, professional grade with high  quality presentation like a classic public display","NEC MultiSync X461S - 46"" Class ( 46"" viewable ) LCD flat panel display",,16:9 16:9,3000:1,600 cd/m2,"1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 832 x 624, 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 720 x 400, 1360 x 768, 1920 x 1080",LCD flat panel display LCD flat panel display,16.7 million colours
www.odsi.co.uk//152,,"NEC MultiSync E223W - LED monitor - 22""",5 ms 5 ms,Widescreen - 16:10 Widescreen - 16:10,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,HD 1680 x 1050 at 60 Hz HD 1680 x 1050 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//141,"NEC-60003324-NEC MultiSync P232W-BK - 23"" LED-backlit LCD Monitor","23""",8 ms 8 ms,Widescreen - 16:9 Widescreen - 16:9,1000:1 1000:1,250 cd/m2 250 cd/m2,FullHD 1920 x 1080 FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//147,,,,,,,,,
www.odsi.co.uk//68,Lenovo 60A4RAT1UK ThinkVision LT3053p (30 inch) LED Backlit LCD Monitor,"30""",6 ms (grey-to-grey),Widescreen - 16:10,1000:1 / 3000000:1 (dynamic),350 cd/m2,2560 x 1600 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,1.07 billion colours
www.odsi.co.uk//134,"NEC-60003583-NEC MultiSync E223W - 22"" - LED-Backlit LCD Monitor","21.5""",6 ms (grey-to-grey) 6 ms (grey-to-grey),Widescreen - 16:9 Widescreen - 16:9,1000:1 1000:1,250 cd/m2 250 cd/m2,1920 x 1080 at 60 Hz 1920 x 1080 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//206,G236HLHbid 23 HDMI DVI IPS UM.VG6EE.H01 ACER,"23""",5 ms,Widescreen - 16:9 Widescreen,100000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//143,,"NEC MultiSync PA241W-WH - LCD monitor - 24""",16 ms (typical rise + fall); 8 ms (grey-to-grey) 16 ms (typical rise + fall); 8 ms (grey-to-grey),Widescreen - 16:10 Widescreen - 16:10,1000:1 1000:1,360 cd/m2 360 cd/m2,FullHD 1920 x 1200 at 60 Hz FullHD 1920 x 1200 at 60 Hz,LCD monitor / TFT active matrix,1.07 billion colours 1.07 billion colours
www.odsi.co.uk//69,Buy NEC LCD TV E464 - 46 inch HD display - 1080p resolution - Perfect for education,"NEC MultiSync E464 - 46"" LED-backlit LCD flat panel display",6.5 ms,16:9 16:9,3000:1,350 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 720, 720 x 400, 1920 x 1080, 1280 x 800",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//1,"NEC 60003395 MultiSync V652 - 65"" LED-Backlit LCD Flat Panel Display","NEC MultiSync V652 - 65"" LED-backlit LCD flat panel display",8 ms,16:9 16:9,4000:1,450 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050, 720 x 576",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//103,VG2437MC-LED 24 webcam h/a dvi VG2437MC-LED Viewsonic,"23.6""",5 ms,Widescreen - 16:9,1000:1 / 20000000:1 (dynamic),300 cd/m2,FullHD 1920 x 1080 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//106,TD2340 23 TOUCH MM IPS HD DP TD2340 Viewsonic,"23""",7 ms,Widescreen,1000:1 / 20000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//16,"NEC 60003708 MultiSync P801 PG (Protective Glass) - 80"" LED-Backlit LCD Flat Panel Display","NEC MultiSync P801 PG - 80"" LED-backlit LCD flat panel display",4 ms,,5000:1,700 cd/m2,"1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1360 x 768, 1920 x 1080, 3840 x 2160, 4096 x 2160",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//47,3M Multi Touch LCD 21 M2167P 98-0003-3729-9 3M,"21.5""",10 ms,Widescreen - 16:9,5000:1,217 cd/m2,FullHD 1920 x 1080,TFT active matrix LED-backlit LCD monitor / TFT active matrix LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//37,,"NEC MultiSync V652 - 65"" LED-backlit LCD flat panel display",8 ms,16:9 16:9,4000:1,450 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050, 720 x 576",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//54,"NEC 60003707 MultiSync P703 PG - 70"" LED-backlit LCD Flat Panel Display","NEC MultiSync P703 PG - 70"" LED-backlit LCD flat panel display",4 ms,,5000:1,700 cd/m2,"1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1360 x 768, 1920 x 1080, 3840 x 2160, 4096 x 2160",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//27,CDP4235-T 42 4 Point Touch CDP4235-T Viewsonic,107 cm,8 ms,16:9,4000:1,450 cd/m2,1920 x 1080,LCD flat panel display,
www.odsi.co.uk//195,"NEC 60003396 MultiSync V552 - 55"" LED-Backlit Large-Screen LCD Flat Panel Display","NEC MultiSync V552 - 55"" LED-backlit LCD flat panel display",,16:9 16:9,4000:1,450 cd/m2,1920 x 1080 1920 x 1080,LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//220,,"23.6""",5 ms,Widescreen - 16:9,1000:1 / 10000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//44,"NEC-60003056-NEC MultiSync X461S - 46"" LED Backlit Super-Slim Full HD LCD Display","NEC MultiSync X461S - 46"" Class ( 46"" viewable ) LCD flat panel display",,16:9 16:9,3000:1,600 cd/m2,"1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 832 x 624, 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 720 x 400, 1360 x 768, 1920 x 1080",LCD flat panel display LCD flat panel display,16.7 million colours
www.odsi.co.uk//36,"NEC-60003433-NEC MultiSync X462S PG - 46"" Class ( 46"" viewable ) LED-Backlit LCD Flat Panel Display","NEC MultiSync X462S PG - 46"" Class ( 46"" viewable ) LED-backlit LCD flat panel display",8 ms,16:9 16:9,4000:1,500 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050, 720 x 576",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,16.7 million colours
www.odsi.co.uk//185,"X551UN NEC 55"" Large Screen Ultra Narrow LED-Backlit TV","NEC MultiSync X551UN - 55"" LCD flat panel display",8 ms,16:9 16:9,4000:1,700 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 720 x 480, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050",LCD flat panel display LCD flat panel display,
www.odsi.co.uk//8,"NEC-60003702-NEC MultiSync P463 PG - 46"" LED-backlit LCD Flat Panel Display","NEC MultiSync P463 PG - 46"" LED-backlit LCD flat panel display",8 ms,,4000:1,700 cd/m2,"1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1360 x 768, 1920 x 1080, 3840 x 2160, 4096 x 2160",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//216,V226HQLAbd 22  Black DVI LED UM.WV6EE.A01 ACER,"21.5""",5 ms,Widescreen - 16:9,100000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//50,"Get the MDT421S, Mitsubishi LCD Screen, Mitsubishi 42 inch Slim Bezel LCD Display Screen at a low price",,9 ms (Grey to Grey),16:09,1100:1 (typical),700 cd/m² (typical),1920 x 1080 pixels,"42"" Widescreen LCD Display",1 billion colours
www.odsi.co.uk//210,TD2220-2 22 DVI MULTI TOUCH TD2220-2 Viewsonic,"21.5""",5 ms,Widescreen,1000:1 / 20000000:1 (dynamic),200 cd/m2,FullHD 1920 x 1080 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//65,,"NEC MultiSync V463 - 46"" LED-backlit LCD flat panel display",8 ms,16:9 16:9,,,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050, 720 x 576",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//157,"NEC 60003336 MultiSync EA224WMi - 22"" - LED-backlit LCD Monitor","21.5""",14 ms 14 ms,Widescreen - 16:9 Widescreen - 16:9,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,FullHD 1920 x 1080 at 60 Hz FullHD 1920 x 1080 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//61,3M C2234SW  22 CHASSIS 98-0003-3598-8 Microtouch,"22""",5 ms,Widescreen,1000:1,250 cd/m2,1680 x 1050,LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//163,"NEC 60003327 MultiSync X401S - 40"" Commercial usage LED-backlit LCD Flat Panel Display","NEC MultiSync X401S - 40"" Class ( 40"" viewable ) LED-backlit LCD flat panel display",8 ms,16:9 16:9,3500:1,500 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1280 x 960, 1280 x 720, 720 x 400, 1680 x 1050 (WSXGA+), 1920 x 1080, 1280 x 800, 1400 x 1050, 720 x 576",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//32,"Sharp PNE521 - 52"" large-format, High-performance LCD Monitor",,,,,,,,
www.odsi.co.uk//124,"Lenovo 60A8KAT2UK ThinkVision LT2423 - 24"" Widescreen LCD Monitor","24""",5 ms,Widescreen - 16:9,1000:1,250 cd/m2,1920 x 1080,LCD monitor / TFT active matrix,
www.odsi.co.uk//218,V246HLbmd 24 MM DVI LED UM.FV6EE.005 ACER,"24""",5 ms,Widescreen - 16:9 Widescreen,100000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//94,"UM.BV6EE.001 Acer V176Lb 17"" LED VGA Monitor","17""",5 ms,,100000000:1 (dynamic),250 cd/m2,1280 x 1024,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//176,Lenovo T52DEEU ThinkVision LT1421 (14 inch) LED Backlit LCD Monitor,"14""",8 ms,Widescreen - 16:9,400:1,200 cd/m2,1366 x 768,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//24,"NEC 60003482 MultiSync V801 - 80"" Commercial-Grade Large-Screen LCD Display","NEC MultiSync V801 - 80"" LED-backlit LCD flat panel display",8 ms,16:9 16:9,5000:1,320 cd/m2,1920 x 1080 1920 x 1080,LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//9,3M 18.5 Multi Touch LCD M1866P 98-0003-3726-5 3M,"18.5""",9 ms,Widescreen - 16:9,1000:1,217 cd/m2,1366 x 768,LCD monitor / TFT active matrix TFT active matrix LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//172,,"NEC MultiSync E223W - LED monitor - 22""",5 ms 5 ms,Widescreen - 16:10 Widescreen - 16:10,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,HD 1680 x 1050 at 60 Hz HD 1680 x 1050 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
www.odsi.co.uk//189,"NEC-60003323-NEC MultiSync P232W - 23"" - LED-Backlit LCD Monitor","23""",8 ms 8 ms,Widescreen - 16:9 Widescreen - 16:9,1000:1 1000:1,250 cd/m2 250 cd/m2,FullHD 1920 x 1080 FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//86,,"NEC MultiSync E464 - 46"" LED-backlit LCD flat panel display",6.5 ms,16:9 16:9,3000:1,350 cd/m2,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 720, 720 x 400, 1920 x 1080, 1280 x 800",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,
www.odsi.co.uk//19,"Lenovo T47HDUK ThinkVision LT1712p - 17"" LED-backlit LCD Monitor","17""",5 ms,5:4,1000:1,250 cd/m2,1280 x 1024 1280 x 1024 at 75 Hz,LCD monitor / TFT active matrix LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//95,"ViewSonic CDP6530 65"" Commercial LCD Display",165 cm ( 164.1 cm viewable ),8 ms,16:9,5000:1,500 cd/m2,"1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1360 x 768, 1920 x 1080",LCD flat panel display,
www.odsi.co.uk//126,"VA2746-LED DVI, VGA  FULL HD VA2746-LED Viewsonic","27""",3.4 ms,Widescreen - 16:9 Widescreen,1200:1 / 20000000:1 (dynamic),300 cd/m2,FullHD 1920 x 1080 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//178,,"NEC MultiSync EA294WMi - LED monitor - 29""",14 ms 14 ms,Widescreen - 21:9 Widescreen - 21:9,1000:1 1000:1,300 cd/m2 300 cd/m2,2560 x 1080 2560 x 1080,LED-backlit LCD monitor / TFT active matrix,16.8 million colours 16.8 million colours
www.odsi.co.uk//112,VA2046M-LED 20 DVI &  SPEAKERS VA2046M-LED Viewsonic,"20""",5 ms,Widescreen,600:1 / 10000000:1 (dynamic),200 cd/m2,1600 x 900,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//125,VX2252mh-LED 22 HDMI DVI MM VX2252MH Viewsonic,"21.5""",2 ms (gray-to-gray),Widescreen - 16:9,1000:1 / 50000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,
www.odsi.co.uk//201,,"27""",7 ms (grey-to-grey) 7 ms (grey-to-grey),Widescreen - 16:9 Widescreen - 16:9,1000:1 1000:1,350 cd/m2 350 cd/m2,2560 x 1440 at 60 Hz 2560 x 1440 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,1.07 billion colours 1.07 billion colours
www.odsi.co.uk//23,"Purchase the MDT551S, Mitsubishi LCD Screen, Mitsubishi 55 inches WS LCD, 1300:1 1080P HDMI DVI-D 10MS NARROW BEZEL","Mitsubishi MDT551S - 55"" Class ( 54.6"" viewable ) LCD flat panel display",10 ms,16:9 16:9,1300:1,700 cd/m2,"1920 x 1200 (WUXGA), 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1360 x 768, 1920 x 1080",LCD flat panel display LCD flat panel display,Up to 1.06 billion colours
www.odsi.co.uk//34,"NEC-60003684-NEC MultiSync EA244UHD - 24"" - LED-backlit LCD Monitor","23.8""",5 ms 5 ms,Widescreen - 16:9 Widescreen Widescreen,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic) 1000:1,350 cd/m2 350 cd/m2,4K 3840 x 2160 4K,LED-backlit LCD monitor / TFT active matrix,1.07 billion colours 1.07 billion colours
www.odsi.co.uk//213,T232HLAbmjjz IPS LED Touch DVI UM.VT2EE.A01 ACER,"23""",5 ms,Widescreen - 16:9 Widescreen,100000000:1 (dynamic),300 cd/m2,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//197,,"21.5""",5 ms,Widescreen - 16:9 Widescreen,100000000:1 (dynamic),250 cd/m2,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,LED-backlit LCD monitor / TFT active matrix,16.7 million colours
www.odsi.co.uk//212,"NEC-60003683-NEC MultiSync EA244UHD - 24"" - LED-backlit LCD Monitor","23.8""",5 ms 5 ms,Widescreen - 16:9 Widescreen - 16:9 Widescreen,1000:1 1000:1,350 cd/m2 350 cd/m2,3840 x 2160 4K 3840 x 2160,LED-backlit LCD monitor / TFT active matrix,1.07 billion colours 1.07 billion colours
www.odsi.co.uk//80,"NEC-60002932-NEC MultiSync E231W - 23"" - LED-backlit LCD Monitor","23""",5 ms 5 ms,Widescreen - 16:9 Widescreen - 16:9,1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),250 cd/m2 250 cd/m2,1920 x 1080 at 60 Hz 1920 x 1080 at 60 Hz,LED-backlit LCD monitor / TFT active matrix,16.7 million colours 16.7 million colours
